алгебра 206/225,Қазақстан тарихы 309,алгебра 206/225,информатика 413/415,физика  311/410
алгебра 206/225,Қазақстан тарихы 309,алгебра 206/225,сынып сағаты 103,физика  311/410
информатика 413/415,геометрия 206/225,физика ЕШП 311/410,геометрия 206/225,алгебрадан ЕШП 206/225
информатика 413/415,геометрия 206/225,биология 229,геометрия 206/225,орыс тілі ж/е әд. 107
ағылшын тілі 216/321,физика  311/410,қазақ әдебиеті 103,орыс тілі ж/е әд. 107,химия 121
ағылшын тілі 216/321,физика  311/410,қазақ әдебиеті 103,орыс тілі ж/е әд. 107,химия 121
география 123,дене шынықтыру спорт зал,ағылшын тілі 216/321,көркем еңбек 413/415,қазақ тілі 103
дүн. тарихы 309,дене шынықтыру спорт зал,ағылшын тілі 216/321,,
құқық негіздері 309,,,,
,,,,
информатика 413/415,геометрия 206/225,физика ЕШП 311/410,дене шынықтыру спорт зал,қазақ тілі 103
информатика 413/415,геометрия 206/225,биология 229,информатика 413/415,алгебрадан ЕШП 206/225
алгебра 206/225,физика  311/410,алгебра 206/225,көркем еңбек 413/415,физика  311/410
алгебра 206/225,физика  311/410,алгебра 206/225,дене шынықтыру спорт зал,физика  311/410
қазақ әдебиеті 103,Қазақстан тарихы 309,ағылшын тілі 216/321,геометрия 206/225,орыс тілі ж/е әд. 107
қазақ әдебиеті 103,Қазақстан тарихы 309,ағылшын тілі 216/321,геометрия 206/225,сынып сағаты 229
ағылшын тілі 216/321,химия 121,дүн. тарихы 309,орыс тілі ж/е әд. 107,
ағылшын тілі 216/321,химия 121,құқық негіздері 309,орыс тілі ж/е әд. 107,
,,,география 123,
,,,,
ағылшын тілі 216/317,орыс тілі ж/е әд. 105,биология 229,геометрия 206/225,алгебрадан ЕШП 206/225
ағылшын тілі 216/317,орыс тілі ж/е әд. 105,физика ЕШП 311/410,геометрия 206/225,география 123
физика  311/410,химия 121,ағылшын тілі 216/317,физика  311/410,қазақ әдебиеті 103
физика  311/410,химия 121,ағылшын тілі 216/317,физика  311/410,қазақ әдебиеті 103
алгебра 206/225,геометрия 206/225,алгебра 206/225,информатика 409/415,Қазақстан тарихы 111
алгебра 206/225,геометрия 206/225,алгебра 206/225,орыс тілі ж/е әд. 105,Қазақстан тарихы 111
