алгебра 211/213,ағылшын тілі 204/237,физика 308/310,ағылшын тілі 204/218,орыс тілі ж/е әд. 105
алгебра 211/213,ағылшын тілі 204/237,физика 308/310,ағылшын тілі 204/218,орыс тілі ж/е әд. 105
физика 308/310,геометрия 211/213,алгебра 211/213,алгебрадан ЕШП 211/213,геометрия 211/213
физика 308/310,геометрия 211/213,алгебра 211/213,биология 229,геометрия 211/213
география 123,дүн. тарихы 109,химия 121,информатика А204/А207,көркем еңбек A015/А003
орыс тілі ж/е әд. 105,информатика А204/А207,химия 121,информатика А204/А207,физика ЕШП 308/310
дене шынықтыру спорт зал,сынып сағаты 229,қазақ тілі 101,қазақ әдебиеті 101,Қазақстан тарихы 309
дене шынықтыру спорт зал,,қазақ тілі 101,қазақ әдебиеті 101,Қазақстан тарихы 309
,,,,
,,,,
орыс тілі ж/е әд. 105,информатика А204/А207,алгебра 211/213,қазақ әдебиеті 101,дене шынықтыру спорт зал
орыс тілі ж/е әд. 105,информатика А204/А207,алгебра 211/213,қазақ әдебиеті 101,дене шынықтыру спорт зал
алгебра 211/213,ағылшын тілі 204/237,физика 308/310,ағылшын тілі 204/218,география 123
алгебра 211/213,ағылшын тілі 204/237,физика 308/310,ағылшын тілі 204/218,физика ЕШП 308/310
физика 308/310,геометрия 211/213,қазақ тілі 101,алгебрадан ЕШП 211/213,геометрия 211/213
физика 308/310,геометрия 211/213,қазақ тілі 101,биология 229,геометрия 211/213
көркем еңбек A015/А003,Қазақстан тарихы 109,химия 121,информатика А204/А207,орыс тілі ж/е әд. 105
,Қазақстан тарихы 109,химия 121,дүн. тарихы 309,
,сынып сағаты 109,,,
,,,,
физика 308/310,геометрия 211/213,дене шынықтыру спорт зал,химия 121,геометрия 211/213
физика 308/310,геометрия 211/213,дене шынықтыру спорт зал,химия 121,геометрия 211/213
орыс тілі ж/е әд. 105,информатика А204/А207,қазақ тілі 101,сынып сағаты 312,ағылшын тілі 204/208
орыс тілі ж/е әд. 105,информатика А204/А207,қазақ тілі 101,алгебрадан ЕШП 211/213,ағылшын тілі 204/208
алгебра 211/213,ағылшын тілі 204/208,физика 308/310,қазақ әдебиеті 101,физика ЕШП 308/310
алгебра 211/213,ағылшын тілі 204/208,физика 308/310,қазақ әдебиеті 101,орыс тілі ж/е әд. 105
Қазақстан тарихы 111,дүн. тарихы 111,алгебра 211/213,биология 229,
Қазақстан тарихы 111,көркем еңбек A015/А003,алгебра 211/213,информатика А204/А207,
,,география 123,,
,,,,
алгебра 203/207,физика 308/310,қазақ тілі 101,информатика А204/А207,геометрия 203/207
алгебра 203/207,физика 308/310,қазақ тілі 101,информатика А204/А207,геометрия 203/207
химия 121,Қазақстан тарихы 111,алгебра 203/207,қазақ әдебиеті 101,физика ЕШП 308/310
химия 121,Қазақстан тарихы 111,алгебра 203/207,қазақ әдебиеті 101,сынып сағаты 312
ағылшын тілі 204/208,геометрия 203/207,дене шынықтыру спорт зал,физика 308/310,информатика А204/А207
ағылшын тілі 204/208,геометрия 203/207,дене шынықтыру спорт зал,физика 308/310,көркем еңбек A015/А003
орыс тілі ж/е әд. 105,ағылшын тілі 204/208,,алгебрадан ЕШП 203/207,дүн. тарихы 101
орыс тілі ж/е әд. 105,ағылшын тілі 204/208,,биология 229,орыс тілі ж/е әд. 105
,география 123,,,
,,,,
химия 121,геометрия 203/210,қазақ тілі 103,физика 308/310,физика ЕШП 308/310
химия 121,геометрия 203/210,қазақ тілі 103,физика 308/310,дүн. тарихы 101
ағылшын тілі 208/239,физика 308/310,ағылшын тілі 208/239,информатика А204/А207,орыс тілі ж/е әд. 105
ағылшын тілі 208/239,физика 308/310,ағылшын тілі 208/239,информатика А204/А207,орыс тілі ж/е әд. 105
орыс тілі ж/е әд. 105,информатика А204/А207,алгебра 211/210,биология 229,геометрия 203/210
география 123,көркем еңбек A015/А003,алгебра 211/210,алгебрадан ЕШП 211/210,геометрия 203/210
алгебра 211/210,дене шынықтыру спорт зал,Қазақстан тарихы 105,қазақ әдебиеті 103,сынып сағаты 117
алгебра 211/210,дене шынықтыру спорт зал,Қазақстан тарихы 105,қазақ әдебиеті 103,
,,,,
,,,,
худ. труд A015/А003,география 315,каз. яз и лит-ра 114/116,ПРЗ по алгебре 104/117,физика 401/407
всемир. история А320,биология 315,каз. яз и лит-ра 114/116,классный час 312,физика 401/407
каз. яз и лит-ра 114/116,геометрия 104/117,алгебра 104/117,информатика А203/411,рус. лит-ра 101
